,LL,LS,MM,SL,SS,XL
0.05,0.5622817460317461,0.5193932052353105,0.5,0.5193454121414647,0.5308754439974754,0.47500000000000003
0.95,0.6948412698412699,0.5723231690336953,0.6333333333333333,0.5702316033138402,0.5616115724059173,0.6
median,0.628968253968254,0.5452957045391256,0.5666666666666668,0.5456048106377054,0.5463148297703817,0.5333333333333333
mean,0.628563492063492,0.5456079497354497,0.569375,0.5454468417571707,0.5463828148682369,0.537175
